pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_amount
40.73,-73.99,40.73,-73.98,7.5
40.73,-73.98,40.72,-73.94,18
40.68,-73.98,40.79,-73.95,33
40.72,-73.99,40.66,-73.96,16.5
40.78,-73.96,40.76,-73.98,8
40.74,-73.98,40.76,-73.91,19
40.72,-73.99,40.79,-73.97,26
40.74,-73.98,40.75,-73.99,9
40.72,-74,40.69,-74,11.5
40.79,-73.95,40.87,-73.92,18
40.72,-73.99,40.72,-73.99,2.5
40.74,-74.01,40.74,-73.99,6
40.8,-73.97,40.77,-73.98,7.5
40.77,-73.99,40.76,-73.99,6
40.73,-73.99,40.72,-74.01,9
40.74,-74,40.73,-73.99,4.5
40.75,-74,40.75,-74,5
40.72,-74,40.76,-73.97,14.5
40.71,-73.96,40.71,-73.95,7
40.78,-73.95,40.79,-73.95,4.5
40.74,-74,40.75,-73.99,6
40.75,-73.99,40.76,-73.99,3
40.75,-73.94,40.77,-73.93,7.5
40.77,-73.98,40.74,-73.98,20.5
40.74,-74.01,40.74,-74,12.5
40.77,-73.98,40.75,-74,19
40.78,-73.96,40.78,-73.95,6
40.8,-73.96,40.79,-73.95,6.5
0,0,0,0,14.5
40.76,-73.98,40.86,-73.91,36.5
40.64,-73.89,40.63,-73.89,11
40.79,-73.95,40.85,-73.92,24.5
40.78,-73.95,40.75,-73.97,12
40.72,-73.98,40.77,-73.97,17.5
40.75,-73.98,40.75,-73.99,7
40.79,-73.97,40.78,-73.95,8.5
40.76,-73.97,40.75,-73.98,11.5
40.8,-73.93,40.79,-73.95,5.5
40.75,-73.99,40.76,-73.99,7
40.76,-73.97,40.68,-73.98,26
40.77,-73.96,40.75,-73.98,8.5
40.75,-73.98,40.61,-73.99,42
40.77,-73.97,40.79,-73.95,9
40.72,-73.99,40.72,-73.98,6.5
40.76,-73.97,40.74,-73.9,15.5
0,0,0,0,20
40.73,-73.99,40.72,-74.01,8.5
40.73,-73.99,40.72,-73.98,7.5
40.77,-73.98,40.76,-73.97,7.5
40.77,-73.95,40.86,-73.92,25
40.74,-73.98,40.73,-74,8
40.74,-74,40.71,-74.01,10.5
40.76,-73.98,40.76,-73.98,11
40.64,-73.79,40.73,-73.95,44
40.64,-73.78,40.73,-73.94,40.5
40.8,-73.97,40.82,-73.95,7.5
40.77,-73.98,40.75,-73.98,11.5
40.75,-73.98,40.75,-73.99,4.5
40.71,-74.01,40.75,-73.99,17
40.73,-73.99,40.72,-74,5
40.75,-73.93,40.76,-73.96,9.5
40.77,-73.98,40.76,-73.98,14.5
40.74,-73.99,40.72,-74,9
